timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
5.50;316.67;5;1180739361#0_0;5.48;0.00;1.25;DEFAULT_VEHTYPE;-1.643258;42.810768
5.60;134.41;0;26129071#3_0;36.38;0.00;8.73;DEFAULT_VEHTYPE;-1.657982;42.807285
5.60;161.02;1;163498800#1_0;26.53;0.00;7.71;DEFAULT_VEHTYPE;-1.645957;42.813440
5.60;309.95;2;27710535#1_0;18.73;0.00;7.16;DEFAULT_VEHTYPE;-1.656270;42.807664
5.60;71.13;3;817341820#0_0;12.65;0.00;5.35;DEFAULT_VEHTYPE;-1.641566;42.806535
5.60;112.66;4;189609904#1_0;8.13;0.00;3.34;DEFAULT_VEHTYPE;-1.652476;42.808676
5.60;316.67;5;1180739361#0_0;5.63;0.00;1.48;DEFAULT_VEHTYPE;-1.643259;42.810769
5.70;134.41;0;26129071#3_0;37.26;0.00;8.82;DEFAULT_VEHTYPE;-1.657974;42.807279
5.70;161.02;1;163498800#1_0;27.30;0.00;7.72;DEFAULT_VEHTYPE;-1.645954;42.813434
5.70;309.95;2;27710535#1_0;19.47;0.00;7.33;DEFAULT_VEHTYPE;-1.656276;42.807668
5.70;70.55;3;817341820#0_0;13.21;0.00;5.60;DEFAULT_VEHTYPE;-1.641559;42.806536
5.70;112.66;4;189609904#1_0;8.49;0.00;3.52;DEFAULT_VEHTYPE;-1.652472;42.808675
5.70;316.67;5;1180739361#0_0;5.80;0.00;1.72;DEFAULT_VEHTYPE;-1.643261;42.810770
5.80;134.41;0;26129071#3_0;38.13;0.00;8.73;DEFAULT_VEHTYPE;-1.657967;42.807274
5.80;161.02;1;163498800#1_0;28.07;0.00;7.75;DEFAULT_VEHTYPE;-1.645951;42.813427
5.80;309.95;2;27710535#1_0;20.22;0.00;7.57;DEFAULT_VEHTYPE;-1.656283;42.807673
5.80;69.94;3;817341820#0_0;13.79;0.00;5.84;DEFAULT_VEHTYPE;-1.641552;42.806538
5.80;112.66;4;189609904#1_0;8.85;0.00;3.68;DEFAULT_VEHTYPE;-1.652468;42.808673
5.80;316.67;5;1180739361#0_0;6.00;0.00;1.96;DEFAULT_VEHTYPE;-1.643262;42.810771
5.90;134.41;0;26129071#3_0;39.01;0.00;8.74;DEFAULT_VEHTYPE;-1.657959;42.807268
5.90;161.02;1;163498800#1_0;28.85;0.00;7.79;DEFAULT_VEHTYPE;-1.645948;42.813420
5.90;309.95;2;27710535#1_0;20.99;0.00;7.72;DEFAULT_VEHTYPE;-1.656291;42.807677
5.90;69.30;3;817341820#0_0;14.40;0.00;6.08;DEFAULT_VEHTYPE;-1.641545;42.806540
5.90;112.66;4;189609904#1_0;9.24;0.00;3.88;DEFAULT_VEHTYPE;-1.652463;42.808672
5.90;316.67;5;1180739361#0_0;6.22;0.00;2.19;DEFAULT_VEHTYPE;-1.643264;42.810773
6.00;134.41;0;26129071#3_0;39.88;0.00;8.76;DEFAULT_VEHTYPE;-1.657952;42.807262
6.00;161.00;1;:313082424_1_0;0.50;0.00;7.81;DEFAULT_VEHTYPE;-1.645945;42.813414
6.00;309.95;2;27710535#1_0;21.78;0.00;7.85;DEFAULT_VEHTYPE;-1.656298;42.807682
6.00;69.28;3;817341820#0_0;15.02;0.00;6.24;DEFAULT_VEHTYPE;-1.641538;42.806542
6.00;112.66;4;189609904#1_0;9.66;0.00;4.14;DEFAULT_VEHTYPE;-1.652459;42.808670
6.00;316.67;5;1180739361#0_0;6.46;0.00;2.42;DEFAULT_VEHTYPE;-1.643266;42.810774
6.00;249.14;6;-163596461#1_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.655961;42.813556
